"Player","Team","Bye","POS","ADP"
"Christian McCaffrey","SF","9","RB1","1"
"CeeDee Lamb","DAL","7","WR1","2"
"Tyreek Hill","MIA","6","WR2","3"
"Breece Hall","NYJ","12","RB2","4"
"Bijan Robinson","ATL","12","RB3","5"
"Justin Jefferson","MIN","6","WR3","6"
"Ja'Marr Chase","CIN","12","WR4","7"
"Amon-Ra St. Brown","DET","5","WR5","8"
"Puka Nacua","LAR","6","WR6","9"
"A.J. Brown","PHI","5","WR7","10"
"Saquon Barkley","PHI","5","RB4","11"
"Jonathan Taylor","IND","14","RB5","12"
"Jahmyr Gibbs","DET","5","RB6","13"
"Garrett Wilson","NYJ","12","WR8","14"
"Josh Allen","BUF","12","QB1","15"
"Davante Adams","LV","10","WR9","16"
"Travis Etienne Jr.","JAC","12","RB7","17"
"De'Von Achane","MIA","6","RB8","18"
"Kyren Williams","LAR","6","RB9","19"
"Marvin Harrison Jr.","ARI","11","WR10","20"
"Sam LaPorta","DET","5","TE1","21"
"Jalen Hurts","PHI","5","QB2","22"
"Derrick Henry","BAL","14","RB10","23"
"Chris Olave","NO","12","WR11","24"
"Josh Jacobs","GB","10","RB11","25"
"Deebo Samuel Sr.","SF","9","WR12","26"
"Nico Collins","HOU","14","WR13","27"
"Michael Pittman Jr.","IND","14","WR14","28"
"Travis Kelce","KC","6","TE2","29"
"Patrick Mahomes II","KC","6","QB3","30"
"Drake London","ATL","12","WR15","31"
"Isiah Pacheco","KC","6","RB12","32"
"Lamar Jackson","BAL","14","QB4","33"
"Rachaad White","TB","11","RB13","34"
"James Cook","BUF","12","RB14","35"
"Stefon Diggs","HOU","14","WR16","36"
"DK Metcalf","SEA","10","WR17","37"
"Jaylen Waddle","MIA","6","WR18","38"
"Mike Evans","TB","11","WR19","39"
"Brandon Aiyuk","SF","9","WR20","40"
"Cooper Kupp","LAR","6","WR21","41"
"DeVonta Smith","PHI","5","WR22","42"
"DJ Moore","CHI","7","WR23","43"
"Trey McBride","ARI","11","TE3","44"
"Kenneth Walker III","SEA","10","RB15","45"
"C.J. Stroud","HOU","14","QB5","46"
"Alvin Kamara","NO","12","RB16","47"
"Anthony Richardson","IND","14","QB6","48"
"Mark Andrews","BAL","14","TE4","49"
"Dalton Kincaid","BUF","12","TE5","50"
"Joe Mixon","HOU","14","RB17","51"
"Rhamondre Stevenson","NE","14","RB18","52"
"Amari Cooper","CLE","10","WR24","53"
"George Pickens","PIT","9","WR25","54"
"Aaron Jones","MIN","6","RB19","55"
"Jordan Love","GB","10","QB7","56"
"D'Andre Swift","CHI","7","RB20","57"
"Joe Burrow","CIN","12","QB8","58"
"Dak Prescott","DAL","7","QB9","59"
"Zay Flowers","BAL","14","WR26","60"
"Malik Nabers","NYG","11","WR27","61"
"Tee Higgins","CIN","12","WR28","62"
"Kyle Pitts","ATL","12","TE6","63"
"Najee Harris","PIT","9","RB21","64"
"Evan Engram","JAC","12","TE7","65"
"Chris Godwin","TB","11","WR29","66"
"George Kittle","SF","9","TE8","67"
"Zack Moss","CIN","12","RB22","68"
"Kyler Murray","ARI","11","QB10","69"
"Keenan Allen","CHI","7","WR30","70"
"Zamir White","LV","10","RB23","71"
"James Conner","ARI","11","RB24","72"
"Terry McLaurin","WAS","14","WR31","73"
"David Montgomery","DET","5","RB25","74"
"Christian Kirk","JAC","12","WR32","75"
"Calvin Ridley","TEN","5","WR33","76"
"Jaylen Warren","PIT","9","RB26","77"
"Devin Singletary","NYG","11","RB27","78"
"Jonathon Brooks","CAR","11","RB28","79"
"Tank Dell","HOU","14","WR34","80"
"Austin Ekeler","WAS","14","RB29","81"
"Jayden Reed","GB","10","WR35","82"
"Raheem Mostert","MIA","6","RB30","83"
"Tony Pollard","TEN","5","RB31","84"
"Brock Purdy","SF","9","QB11","85"
"DeAndre Hopkins","TEN","5","WR36","86"
"Jake Ferguson","DAL","7","TE9","87"
"Hollywood Brown","KC","6","WR37","88"
"Diontae Johnson","CAR","11","WR38","89"
"David Njoku","CLE","10","TE10","90"
"Nick Chubb","CLE","10","RB32","91"
"Rashee Rice","KC","6","WR39","92"
"Jared Goff","DET","5","QB12","93"
"Brian Robinson Jr.","WAS","14","RB33","94"
"Christian Watson","GB","10","WR40","95"
"Javonte Williams","DEN","14","RB34","96"
"Jayden Daniels","WAS","14","QB13","97"
"Ladd McConkey","LAC","5","WR41","98"
"Tyjae Spears","TEN","5","RB35","99"
"Justin Herbert","LAC","5","QB14","100"
"Tua Tagovailoa","MIA","6","QB15","101"
"T.J. Hockenson","MIN","6","TE11","102"
"Brock Bowers","LV","10","TE12","103"
"Jordan Addison","MIN","6","WR42","104"
"Trey Benson","ARI","11","RB36","105"
"Xavier Worthy","KC","6","WR43","106"
"Caleb Williams","CHI","7","QB16","107"
"Dallas Goedert","PHI","5","TE13","108"
"Blake Corum","LAR","6","RB37","109"
"Ezekiel Elliott","DAL","7","RB38","110"
"Trevor Lawrence","JAC","12","QB17","111"
"Jerome Ford","CLE","10","RB39","112"
"Jaxon Smith-Njigba","SEA","10","WR44","113"
"Keon Coleman","BUF","12","WR45","114"
"Kirk Cousins","ATL","12","QB18","115"
"Pat Freiermuth","PIT","9","TE14","116"
"Courtland Sutton","DEN","14","WR46","117"
"Chase Brown","CIN","12","RB40","118"
"Curtis Samuel","BUF","12","WR47","119"
"Jameson Williams","DET","5","WR48","120"
"J.K. Dobbins","LAC","5","RB41","121"
"Dalton Schultz","HOU","14","TE15","122"
"Zach Charbonnet","SEA","10","RB42","123"
"Cole Kmet","CHI","7","TE16","124"
"Gus Edwards","LAC","5","RB43","125"
"Matthew Stafford","LAR","6","QB19","126"
"Aaron Rodgers","NYJ","12","QB20","127"
"Ty Chandler","MIN","6","RB44","128"
"Baker Mayfield","TB","11","QB21","129"
"Brian Thomas Jr.","JAC","12","WR49","130"
"Rome Odunze","CHI","7","WR50","131"
"Jerry Jeudy","CLE","10","WR51","132"
"Deshaun Watson","CLE","10","QB22","133"
"Jakobi Meyers","LV","10","WR52","134"
"Rico Dowdle","DAL","7","RB45","135"
"Tyler Lockett","SEA","10","WR53","136"
"Michael Wilson","ARI","11","WR54","137"
"Kimani Vidal","LAC","5","RB46","138"
"Khalil Shakir","BUF","12","WR55","139"
"Taysom Hill","NO","12","TE17","140"
"Kendre Miller","NO","12","RB47","141"
"Gabe Davis","JAC","12","WR56","142"
"Joshua Palmer","LAC","5","WR57","143"
"Antonio Gibson","NE","14","RB48","144"
"Mike Williams","NYJ","12","WR58","145"
"Jaylen Wright","MIA","6","RB49","146"
"MarShawn Lloyd","GB","10","RB50","147"
"Luke Musgrave","GB","10","TE18","148"
"Romeo Doubs","GB","10","WR59","149"
"Jahan Dotson","WAS","14","WR60","150"
"Chuba Hubbard","CAR","11","RB51","151"
"Will Levis","TEN","5","QB23","152"
"Geno Smith","SEA","10","QB24","153"
"Jaleel McLaughlin","DEN","14","RB52","154"
"Brandin Cooks","DAL","7","WR61","155"
"Derek Carr","NO","12","QB25","156"
"Hunter Henry","NE","14","TE19","157"
"Rashid Shaheed","NO","12","WR62","158"
"Daniel Jones","NYG","11","QB26","159"
"Tyler Allgeier","ATL","12","RB53","160"
"Tyler Conklin","NYJ","12","TE20","161"
"Chigoziem Okonkwo","TEN","5","TE21","162"
"Josh Downs","IND","14","WR63","163"
"Adam Thielen","CAR","11","WR64","164"
"Tyrone Tracy Jr.","NYG","11","RB54","165"
"Jonnu Smith","MIA","6","TE22","166"
"Ray Davis","BUF","12","RB55","167"
"Bryce Young","CAR","11","QB27","168"
"Russell Wilson","PIT","9","QB28","169"
"Xavier Legette","CAR","11","WR65","170"
"Bucky Irving","TB","11","RB56","171"
"Quentin Johnston","LAC","5","WR66","172"
"Adonai Mitchell","IND","14","WR67","173"
"Cade Otton","TB","11","TE23","174"
"Dontayvion Wicks","GB","10","WR68","175"
"Darnell Mooney","ATL","12","WR69","176"
"J.J. McCarthy","MIN","6","QB29","177"
"Isaiah Likely","BAL","14","TE24","178"
"Noah Fant","SEA","10","TE25","179"
"Roschon Johnson","CHI","7","RB57","180"
"Elijah Mitchell","SF","9","RB58","181"
"Troy Franklin","DEN","14","WR70","182"
"Samaje Perine","DEN","14","RB59","183"
"Bo Nix","DEN","14","QB30","184"
"DeMario Douglas","NE","14","WR71","185"
"Mike Gesicki","CIN","12","TE26","186"
"Ja'Lynn Polk","NE","14","WR72","187"
"Clyde Edwards-Helaire","KC","6","RB60","188"
"Dameon Pierce","HOU","14","RB61","189"
"Jermaine Burton","CIN","12","WR73","190"
"Braelon Allen","NYJ","12","RB62","191"
"Wan'Dale Robinson","NYG","11","WR74","192"
"Gardner Minshew II","LV","10","QB31","193"
"Juwan Johnson","NO","12","TE27","194"
"Greg Dulcich","DEN","14","TE28","195"
"Justin Fields","PIT","9","QB32","196"
"Ricky Pearsall","SF","9","WR75","197"
"Kenneth Gainwell","PHI","5","RB63","198"
"Zach Ertz","WAS","14","TE29","199"
"D'Onta Foreman","CLE","10","RB64","200"
"Khalil Herbert","CHI","7","RB65","201"
"Audric Estime","DEN","14","RB66","202"
"Drake Maye","NE","14","QB33","203"
"Ben Sinnott","WAS","14","TE30","204"
"Roman Wilson","PIT","9","WR76","205"
"Alexander Mattison","LV","10","RB67","206"
"Daniel Bellinger","NYG","11","TE31","207"
"Marvin Mims Jr.","DEN","14","WR77","208"
"Sam Darnold","MIN","6","QB34","209"
"Kareem Hunt","","","RB68","210"
"Jacoby Brissett","NE","14","QB35","211"
"Ja'Tavion Sanders","CAR","11","TE32","212"
"Aidan O'Connell","LV","10","QB36","213"
"Rashod Bateman","BAL","14","WR78","214"
"Miles Sanders","CAR","11","RB69","215"
"Michael Penix Jr.","ATL","12","QB37","216"
"Will Shipley","PHI","5","RB70","217"
"Keaton Mitchell","BAL","14","RB71","218"
"Demarcus Robinson","LAR","6","WR79","219"
"Jalin Hyatt","NYG","11","WR80","220"
"Tank Bigsby","JAC","12","RB72","221"
"Luke McCaffrey","WAS","14","WR81","222"
"Tyler Boyd","TEN","5","WR82","223"
"Odell Beckham Jr.","MIA","6","WR83","224"
"Dalvin Cook","","","RB73","225"
"Isaac Guerendo","SF","9","RB74","226"
"Hayden Hurst","LAC","5","TE33","227"
"AJ Dillon","GB","10","RB75","228"
"Malachi Corley","NYJ","12","WR84","229"
"Darius Slayton","NYG","11","WR85","230"
"Tyler Higbee","LAR","6","TE34","231"
"Tucker Kraft","GB","10","TE35","232"
"Calvin Austin III","PIT","9","WR86","233"
"Michael Mayer","LV","10","TE36","234"
"Colby Parkinson","LAR","6","TE37","235"
"Jamaal Williams","NO","12","RB76","236"
"Kendrick Bourne","NE","14","WR87","237"
"Justice Hill","BAL","14","RB77","238"
"Dylan Laube","LV","10","RB78","239"
"Eric Gray","NYG","11","RB79","240"
"K.J. Osborn","NE","14","WR88","241"
"Jelani Woods","IND","14","TE38","242"
"Dawson Knox","BUF","12","TE39","243"
"DJ Chark Jr.","LAC","5","WR89","244"
"Devontez Walker","BAL","14","WR90","245"
"Theo Johnson","NYG","11","TE40","246"
"Jauan Jennings","SF","9","WR91","247"
"Greg Dortch","ARI","11","WR92","248"
"Jalen Tolbert","DAL","7","WR93","249"
"Trey Sermon","IND","14","RB80","250"
"Javon Baker","NE","14","WR94","251"
"Michael Thomas","","","WR95","252"
"Cordarrelle Patterson","PIT","9","RB81","253"
"Elijah Moore","CLE","10","WR96","254"
"A.T. Perry","NO","12","WR97","255"
"Rondale Moore","ATL","12","WR98","256"
"Alec Pierce","IND","14","WR99","257"
"Nyheim Hines","CLE","10","RB82","258"
"Tre Tucker","LV","10","WR100","259"
"Jonathan Mingo","CAR","11","WR101","260"
"Jalen McMillan","TB","11","WR102","261"
"Michael Gallup","","","WR103","262"
""
""